id;type;vmSetp;vaSetp;vmR;vmMin;vmMax;substation;coordID;subnet;voltLvl
LV6.201 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_0;LV6.201;7
LV6.201 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_1;LV6.201;7
LV6.201 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_2;LV6.201;7
LV6.201 Bus 28;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_3;LV6.201;7
LV6.201 Bus 44;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_4;LV6.201;7
LV6.201 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_5;LV6.201;7
LV6.201 Bus 18;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_6;LV6.201;7
LV6.201 Bus 46;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_7;LV6.201;7
LV6.201 Bus 30;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_8;LV6.201;7
LV6.201 Bus 34;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_9;LV6.201;7
LV6.201 Bus 39;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_10;LV6.201;7
LV6.201 Bus 17;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_11;LV6.201;7
LV6.201 Bus 19;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_12;LV6.201;7
LV6.201 Bus 41;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_13;LV6.201;7
LV6.201 Bus 35;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_14;LV6.201;7
LV6.201 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_15;LV6.201;7
LV6.201 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_16;LV6.201;7
LV6.201 Bus 42;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_17;LV6.201;7
LV6.201 Bus 21;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_18;LV6.201;7
LV6.201 Bus 33;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_19;LV6.201;7
LV6.201 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_20;LV6.201;7
LV6.201 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_21;LV6.201;7
LV6.201 Bus 45;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_22;LV6.201;7
LV6.201 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_23;LV6.201;7
LV6.201 Bus 38;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_24;LV6.201;7
LV6.201 Bus 20;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_25;LV6.201;7
LV6.201 Bus 36;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_26;LV6.201;7
LV6.201 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_27;LV6.201;7
LV6.201 Bus 27;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_28;LV6.201;7
LV6.201 Bus 40;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_29;LV6.201;7
LV6.201 Bus 22;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_30;LV6.201;7
LV6.201 Bus 24;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_31;LV6.201;7
LV6.201 Bus 25;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_32;LV6.201;7
LV6.201 Bus 26;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_33;LV6.201;7
